Test error with best (8, 3): 0.0380            
                                                                                                                  
      p   k  train_error
287  15   8     0.068000
288  15   9     0.069667
289  15  10     0.070667
290  15  11     0.072667
291  15  12     0.070000
292  15  13     0.072000
293  15  14     0.075667
294  15  15     0.076000
295  15  16     0.078333
296  15  17     0.079667
297  15  18     0.083000
298  15  19     0.083667
299  15  20     0.085000
